wvs	L_nont_mars	L_nont_moon	L_nont_europa	iof_mix_mars	iof_nont_moon	iof_nont_europa
0.3215	3.4446642	5.166996	0.99365318	0.023206002	0.023206	0.023206001
0.32249999	3.4032617	5.1048927	0.9817102	0.023290001	0.023290001	0.023290001
0.32350001	3.2801254	4.920188	0.94619	0.023374001	0.023374001	0.023374001
0.32449999	3.7872183	5.6808276	1.0924668	0.023458001	0.023458001	0.023458001
0.32550001	4.3773375	6.5660062	1.2626935	0.023553	0.023553	0.023553
0.3265	4.9176736	7.3765101	1.4185597	0.023659001	0.023659001	0.023659
0.32749999	4.8045511	7.2068267	1.3859283	0.023764998	0.023764999	0.023764998
0.3285	4.6481791	6.9722686	1.340821	0.023870998	0.023870998	0.023871
0.32949999	5.3984494	8.0976744	1.5572451	0.023976998	0.023976998	0.023977
0.33050001	5.1942806	7.7914209	1.4983503	0.024092	0.024092	0.024092
0.33149999	4.9625335	7.4438004	1.4315002	0.024215997	0.024215998	0.024215999
0.33250001	4.9321623	7.398243	1.422739	0.024340001	0.02434	0.024339998
0.3335	4.7844138	7.176621	1.3801194	0.024463998	0.024463999	0.024463997
0.33450001	5.0032864	7.50493	1.4432558	0.024587999	0.024587999	0.024588
0.3355	4.9508395	7.426259	1.4281268	0.02473	0.024729999	0.024729998
0.33649999	4.2756348	6.4134517	1.2333561	0.024889999	0.024889998	0.024889997
0.33750001	4.4748197	6.7122293	1.2908133	0.02505	0.025050002	0.025050001
0.33849999	4.9297743	7.3946614	1.4220504	0.025210001	0.025210001	0.025209999
0.33950001	5.1581054	7.7371578	1.4879149	0.025370003	0.025370002	0.025370002
0.3405	5.4634638	8.1951962	1.5759993	0.025566998	0.025566999	0.025566999
0.34150001	5.0579367	7.5869055	1.4590204	0.025801003	0.025801004	0.025801004
0.3425	5.486125	8.229188	1.5825361	0.026035	0.026035003	0.026035
0.34349999	5.2990761	7.9486141	1.5285797	0.026268996	0.026268998	0.026268998
0.34450001	4.4751058	6.7126589	1.2908959	0.026503003	0.026503004	0.026503003
0.34549999	5.3411593	8.0117388	1.5407189	0.026799	0.026799	0.026798998
0.34650001	5.3387465	8.0081196	1.5400231	0.027157005	0.027157007	0.027157007
0.3475	5.264904	7.897356	1.5187223	0.027515001	0.027515001	0.027514999
0.34850001	5.3067908	7.960186	1.5308051	0.027873008	0.027873008	0.027873008
0.3495	5.3306179	7.9959269	1.5376782	0.028231001	0.028231003	0.028231003
0.35049999	6.3857093	9.5785637	1.8420315	0.028658998	0.028658996	0.028658997
0.3515	6.0604692	9.090704	1.7482123	0.029157007	0.029157009	0.029157008
0.35249999	5.7134023	8.5701036	1.6480969	0.029655001	0.029655002	0.029655
0.35350001	6.6098228	9.9147339	1.9066796	0.030153006	0.030153005	0.030153007
0.3545	7.2263269	10.83949	2.0845175	0.030651002	0.030651002	0.030651003
0.35550001	6.9125772	10.368865	1.9940126	0.031172012	0.031172011	0.031172011
0.3565	6.1400928	9.2101393	1.7711806	0.031716	0.031716	0.031715999
0.35749999	5.4492435	8.1738644	1.5718971	0.032259995	0.032259991	0.032259993
0.3585	4.8283048	7.2424574	1.3927803	0.032803994	0.032803997	0.032803996
0.35949999	7.0136805	10.52052	2.0231771	0.033347988	0.033347989	0.033347989
0.36050001	6.9656148	10.448421	2.0093119	0.033811996	0.033811995	0.033811996
0.36149999	6.3720331	9.5580502	1.8380866	0.034195993	0.034195992	0.034195992
0.36250001	7.32196	10.98294	2.1121037	0.03458	0.03458	0.03458
0.3635	7.3965898	11.094884	2.1336317	0.034963996	0.034963995	0.034963997
0.36449999	7.5985899	11.397885	2.191901	0.035347988	0.03534799	0.035347989
0.3655	8.7101803	13.06527	2.512552	0.035629998	0.035629997	0.035629998
