"wvs,"	"L_mix_mars,"	"L_mix_moon,"	"L_mix_europa,"	"iof_mix_mars,"	"iof_mix_moon,"	iof_mix_europa
0.60350001	43.108574	64.662865	12.435166	0.113679	0.113679	0.113679
0.6045	42.923866	64.385803	12.381886	0.11389299	0.113893	0.113893
0.60549998	42.688984	64.033478	12.314131	0.11410499	0.114105	0.114105
0.60650003	42.670521	64.005783	12.308805	0.11431501	0.114315	0.11431501
0.60750002	42.700302	64.050453	12.317394	0.114525	0.11452501	0.114525
0.6085	42.437729	63.656593	12.241653	0.114735	0.114735	0.11473499
0.60949999	42.539795	63.809696	12.271095	0.114945	0.11494499	0.114945
0.61049998	41.611279	62.416912	12.003253	0.115143	0.11514299	0.115143
0.61150002	42.730862	64.096291	12.326211	0.11532901	0.115329	0.11532901
0.61250001	41.794739	62.692108	12.056174	0.115515	0.115515	0.11551499
0.6135	41.32188	61.982822	11.919774	0.115701	0.115701	0.115701
0.61449999	42.126064	63.189098	12.151751	0.11588698	0.11588699	0.11588699
0.61549997	42.189678	63.284519	12.170101	0.11606198	0.11606199	0.11606199
0.61650002	39.68425	59.526379	11.447381	0.116226	0.11622601	0.11622601
0.61750001	42.160721	63.241085	12.161748	0.11639	0.11639	0.11639
0.61849999	42.640602	63.960899	12.300174	0.116554	0.116554	0.116554
0.61949998	42.279537	63.419304	12.196021	0.11671801	0.116718	0.116718
0.62050003	43.002007	64.503014	12.404426	0.11686401	0.11686401	0.11686401
0.62150002	41.956741	62.935112	12.102906	0.11699201	0.11699201	0.11699201
0.6225	42.574276	63.861412	12.281042	0.11711999	0.11711999	0.11712
0.62349999	41.451405	62.177113	11.957136	0.11724799	0.117248	0.11724799
0.62449998	41.247581	61.871368	11.898341	0.117376	0.11737599	0.117376
0.62550002	40.692738	61.039104	11.73829	0.11750001	0.11750001	0.11750001
0.62650001	42.356678	63.535015	12.218272	0.11762	0.11762	0.11762
0.6275	42.399895	63.599838	12.230739	0.11774001	0.11774	0.11774001
0.62849998	42.443108	63.664661	12.243204	0.11786	0.11786001	0.11786001
0.62949997	41.985596	62.978394	12.11123	0.11798	0.11798	0.11798
0.63099998	41.096825	61.645241	11.854855	0.11816	0.11816	0.11816
0.63300002	41.481804	62.222706	11.965905	0.11840001	0.1184	0.1184
0.63499999	41.691769	62.537655	12.026473	0.11864	0.11864	0.11864001
0.63700002	41.714424	62.571636	12.033008	0.11884801	0.118848	0.118848
0.639	41.711632	62.567451	12.032203	0.11905599	0.119056	0.119056
0.64099997	40.836441	61.254665	11.779743	0.11922999	0.11923	0.11923
0.64300001	41.06171	61.592567	11.844725	0.11937	0.11937	0.11937
0.64499998	41.262035	61.893059	11.902511	0.11951	0.11951	0.11951
0.64700001	40.713245	61.06987	11.744206	0.119686	0.119686	0.11968599
0.64899999	39.628513	59.442776	11.431303	0.11986199	0.119862	0.119862
0.65100002	40.905312	61.357967	11.799609	0.12002599	0.12002599	0.12002599
0.653	40.778599	61.167896	11.763057	0.120178	0.12017799	0.120178
0.65499997	39.119343	58.679012	11.284426	0.12033	0.12033	0.12033001
0.65700001	35.382481	53.073719	10.206486	0.120474	0.120474	0.120474
0.65899998	39.648098	59.472149	11.436952	0.120618	0.12061799	0.12061799
0.66100001	40.259888	60.389832	11.613429	0.120764	0.12076401	0.120764
0.66299999	39.898689	59.848034	11.509238	0.120912	0.12091199	0.12091199
0.66500002	40.075977	60.113964	11.560378	0.12106	0.12105999	0.12106
0.667	39.502792	59.254189	11.395037	0.12127201	0.12127201	0.12127201
0.66900003	39.855427	59.783138	11.496758	0.12148401	0.12148401	0.12148401
0.671	39.157955	58.736931	11.295565	0.12171999	0.12172	0.12172
0.67299998	39.371021	59.056534	11.357025	0.12198	0.12198	0.12198
0.67500001	39.169601	58.754402	11.298923	0.12224	0.12224	0.12224001
0.67699999	39.167641	58.751465	11.298359	0.12239599	0.12239601	0.122396
0.67900002	38.9575	58.436249	11.237741	0.122552	0.122552	0.122552
0.68099999	38.810329	58.215492	11.195288	0.12258	0.12258001	0.12258001
0.68300003	38.440781	57.661171	11.088688	0.12247999	0.12248	0.12248
0.685	37.786121	56.679184	10.899843	0.12238	0.12238001	0.12238
0.68699998	38.10025	57.150379	10.990458	0.122388	0.12238801	0.12238801
0.68900001	37.946899	56.920353	10.946221	0.122396	0.12239601	0.122396
0.69099998	37.601871	56.402809	10.846695	0.122372	0.122372	0.122372
0.69300002	37.584663	56.376999	10.841731	0.122316	0.12231601	0.122316
0.69499999	37.256126	55.88419	10.74696	0.12226001	0.12226	0.12225999
0.69700003	36.707188	55.060783	10.588613	0.12215999	0.12216	0.12216
0.699	36.910259	55.365387	10.647191	0.12206	0.12206	0.12206
0.70099998	35.867729	53.801594	10.346461	0.12195	0.12195	0.12194999
0.70300001	35.884144	53.826218	10.351196	0.12183001	0.12183001	0.12183001
0.70499998	36.546143	54.819218	10.542157	0.12171	0.12171	0.12171001
0.70700002	36.119511	54.179268	10.41909	0.121578	0.121578	0.121578
0.70899999	35.66795	53.501926	10.288833	0.121446	0.121446	0.121446
0.71100003	35.638466	53.457699	10.280327	0.12125799	0.12125799	0.12125799
0.713	35.258595	52.887894	10.17075	0.12101399	0.121014	0.121014
0.71499997	35.008106	52.512161	10.098493	0.12076999	0.12077001	0.12077
0.71700001	34.632759	51.949139	9.9902191	0.120534	0.120534	0.120534
0.71899998	33.901222	50.851833	9.7791996	0.12029801	0.12029801	0.12029801
0.72100002	33.913975	50.870964	9.7828779	0.12007201	0.12007202	0.12007201
0.72299999	34.285347	51.42802	9.8900042	0.11985601	0.119856	0.11985601
0.72500002	34.274334	51.411499	9.8868265	0.11964	0.11964	0.11963999
0.727	34.089378	51.134068	9.8334751	0.119348	0.119348	0.11934801
0.72899997	33.323833	49.985752	9.6126451	0.11905601	0.11905601	0.11905602
0.73100001	33.413452	50.120182	9.6384974	0.118746	0.11874601	0.11874601
0.73299998	33.120129	49.680191	9.5538836	0.118418	0.11841801	0.11841801
0.73500001	32.802853	49.204277	9.4623613	0.11809	0.11808999	0.11808999
0.73699999	32.668419	49.002628	9.4235821	0.117786	0.117786	0.11778599
0.73900002	31.861122	47.791683	9.1907082	0.11748201	0.11748201	0.117482
0.741	31.274414	46.911621	9.0214653	0.11715199	0.11715199	0.11715199
0.74299997	31.873356	47.810036	9.1942377	0.116796	0.11679601	0.11679599
0.745	31.603239	47.404858	9.1163187	0.11644	0.11643999	0.11643999
0.74699998	31.604063	47.406094	9.1165571	0.11608	0.11608	0.11608001
0.74900001	31.186813	46.780216	8.9961958	0.11571999	0.11571999	0.11572
0.75099999	30.886454	46.329681	8.9095545	0.115332	0.11533201	0.115332
0.75300002	30.701887	46.052834	8.8563137	0.114916	0.114916	0.114916
0.755	30.493557	45.740334	8.7962189	0.1145	0.1145	0.11450001
0.75700003	30.220716	45.331078	8.717515	0.11411199	0.11411201	0.114112
0.759	29.924898	44.887348	8.6321821	0.113724	0.113724	0.113724
0.76099998	29.748026	44.622036	8.5811615	0.11332601	0.113326	0.11332601
0.76300001	29.736769	44.605152	8.5779142	0.112918	0.11291799	0.11291798
0.76499999	29.151819	43.727726	8.4091787	0.11251	0.11250999	0.11251001
0.76700002	28.185684	42.278526	8.1304865	0.112086	0.112086	0.11208601
0.76899999	28.505581	42.758369	8.222764	0.11166201	0.111662	0.111662
0.77100003	28.421965	42.632946	8.1986437	0.11124199	0.11124199	0.11124199
0.773	28.40975	42.614628	8.1951208	0.11082599	0.110826	0.110826
0.77499998	27.834518	41.751778	8.0291882	0.11041	0.11041	0.11041
0.77700001	27.911297	41.866947	8.0513363	0.10997399	0.109974	0.109974
0.77899998	27.591438	41.387161	7.9590697	0.10953799	0.109538	0.109538
0.78100002	27.47154	41.20731	7.9244833	0.109062	0.10906199	0.109062
0.78299999	27.088194	40.63229	7.8139019	0.10854601	0.10854601	0.108546
0.78500003	27.051119	40.576679	7.8032074	0.10802999	0.10803	0.10803
0.787	26.878443	40.317665	7.753397	0.107614	0.107614	0.107614
0.78899997	26.706299	40.059448	7.7037406	0.10719801	0.10719802	0.10719802
0.79100001	26.243542	39.365311	7.5702524	0.10679601	0.106796	0.10679601
0.79299998	25.809488	38.714233	7.4450445	0.10640801	0.10640801	0.10640801
0.79500002	25.512894	38.269341	7.359489	0.10602	0.10602	0.10602
0.79699999	25.817144	38.725716	7.4472532	0.10560801	0.10560801	0.10560801
0.79900002	25.336927	38.00539	7.3087292	0.105196	0.105196	0.105196
0.801	25.388985	38.083477	7.3237457	0.104766	0.104766	0.104766
0.80299997	24.992638	37.488956	7.209415	0.10431801	0.10431801	0.10431802
0.80500001	24.576714	36.865074	7.089437	0.10386999	0.10387	0.10386999
0.80699998	24.589958	36.884937	7.0932574	0.103462	0.10346201	0.10346201
0.80900002	23.946266	35.919399	6.907577	0.10305399	0.10305399	0.10305399
0.81099999	24.254448	36.381672	6.9964752	0.10259999	0.1026	0.10259999
0.81300002	24.157913	36.23687	6.9686294	0.10209999	0.10209998	0.1021
0.815	23.86713	35.800694	6.8847494	0.1016	0.10159999	0.1016
0.81699997	23.698431	35.547646	6.8360858	0.101156	0.101156	0.101156
0.81900001	22.718168	34.077251	6.5533175	0.10071199	0.10071199	0.10071199
0.82099998	22.987524	34.481285	6.6310167	0.100302	0.100302	0.10030199
0.82300001	22.752914	34.129372	6.5633411	0.09992599	0.099925986	0.099925991
0.82499999	22.709553	34.064327	6.5508327	0.099549996	0.099549997	0.099549995
0.82599998	22.768427	34.152641	6.5678163	0.099346009	0.099346012	0.099346009
0.82800001	22.695913	34.043869	6.5468984	0.098937994	0.098937991	0.098937996
0.82999998	22.225965	33.338947	6.4113359	0.098530004	0.098530003	0.098530002
0.83200002	21.889414	32.834122	6.3142538	0.098145986	0.098145996	0.098145981
0.83399999	21.596315	32.39447	6.2297068	0.097761998	0.097761987	0.097761998
0.83600003	21.739237	32.608856	6.2709341	0.097379988	0.097379984	0.097379988
0.838	21.489737	32.234604	6.1989627	0.097000002	0.096999995	0.096999997
0.83999997	21.323536	31.985304	6.1510201	0.096620002	0.09662	0.096619999
0.84200001	21.01948	31.529219	6.0633111	0.095610007	0.095610001	0.095610001
0.84399998	20.680397	31.020596	5.9654994	0.095169997	0.095169999	0.095170003
0.84600002	20.824442	31.236664	6.007051	0.095459997	0.095459993	0.095459995
0.84799999	20.674313	31.011469	5.9637442	0.095234998	0.095234998	0.095234999
0.85000002	19.412701	29.119053	5.5998182	0.094699999	0.094700007	0.094700008
0.852	19.821005	29.731508	5.717598	0.093769996	0.093769999	0.093769998
0.85399997	17.47007	26.205107	5.039444	0.093765118	0.093765117	0.093765123
0.85600001	19.28689	28.930336	5.5635266	0.093169996	0.093169997	0.093170003
0.85799998	19.831757	29.747635	5.7206993	0.092990001	0.092990003	0.092990004
0.86000001	19.388443	29.082664	5.5928202	0.091649999	0.091650002	0.091650002
0.86199999	19.659897	29.489847	5.6711245	0.093119997	0.093120003	0.093119997
0.86400002	19.295162	28.942741	5.5659122	0.090990003	0.090989997	0.090990005
0.866	17.14896	25.723442	4.946816	0.09119	0.091190001	0.091190004
0.86799997	18.184378	27.276567	5.2454939	0.091210079	0.091210078	0.091210078
0.87	18.8181	28.22715	5.4282985	0.090980006	0.090979999	0.090980005
0.87199998	18.662796	27.994194	5.3834991	0.089440005	0.089440003	0.089440004
